******************************************************** DEPRECATED ITKs REPORT ************************************
Artifact type,Deprecated Artifact,Header File,Replacement Artifact,Deprecated In,Removal Targeted In
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::getOrderedElementGroups,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::getRealizedLogicalElements,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::insertConnectionElement,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::insertOrderedElementGroupElements,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::queryConnectionModelElements,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::queryModelElementsOfElementGroup,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::queryOrderedElementGroupByPartition,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::queryParentElementGroup,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::reverseOrderedElementGroupElements,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::splitOrderedElementGroupElements,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2016_10::Mdconnectivity::findConnectionsOnPort2,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2016_10::Mdconnectivity::queryParentElementGroup2,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2017_11::Mdconnectivity::createOrUpdateElementGroups2,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2017_11::Mdconnectivity::createOrUpdateModelElements2,Deprecated. See Support Announcement 2606.,2606,2912
Mdl0SoaModelcore,Datamanagement,Mdl0::Services::Modelcore::_2011_06::Datamanagement::reviseObjects,Use the reviseObjects operation from the Core Datamanagement.,11.2,2712
Mei0SoaMesinteg,Release,Mei0::Services::Mesinteg::_2013_05::Release::applyReleaseStatusToLines,this operation is obsolete  there is no replacement.,2412,2712
Mei0SoaMesinteg,Release,Mei0::Services::Mesinteg::_2013_05::Release::createReleaseUpdatePackage,this operation is obsolete  there is no replacement.,2412,2712
Mei0SoaMesinteg,Release,Mei0::Services::Mesinteg::_2013_05::Release::findReleaseCandidates,this operation is obsolete  there is no replacement.,2412,2712
Mei0SoaMesinteg,Release,Mei0::Services::Mesinteg::_2013_05::Release::isUpdateAllowed,this operation is obsolete  there is no replacement.,2412,2712
Mei0SoaMesinteg,Release,Mei0::Services::Mesinteg::_2013_05::Release::openPreviousReleasedVersion,this operation is obsolete  there is no replacement.,2412,2712
Mei0SoaMesinteg,Release,Mei0::Services::Mesinteg::_2014_06::Release::applyReleaseStatusToLines,this operation is obsolete  there is no replacement.,2412,2712
Mei0SoaMesinteg,Release,Mei0::Services::Mesinteg::_2014_12::Release::executionDataExport,this operation is obsolete  there is no replacement.,2412,2712
Mei0SoaMesinteg,Release,Mei0::Services::Mesinteg::_2015_03::Release::setExecutionIdAndRevisionRule,this operation is obsolete  there is no replacement.,2412,2712
Mei0SoaMesinteg,Release,Mei0::Services::Mesinteg::_2015_10::Release::executionDataExport2,this operation is obsolete  there is no replacement.,2412,2712
Mei0SoaMesinteg,Release,Mei0::Services::Mesinteg::_2016_09::Release::createReleaseUpdatePackage2,this operation is obsolete  there is no replacement.,2412,2712
Mei0SoaMesinteg,Release,Mei0::Services::Mesinteg::_2016_09::Release::executionDataExport3,this operation is obsolete  there is no replacement.,2412,2712
Mei0SoaMesinteg,Release,Mei0::Services::Mesinteg::_2017_11::Release::findWorkOrderStatusProps,this operation is obsolete  there is no replacement.,2412,2712
Mes0SoaMes,Workinstructions,Mes0::Services::Mes::_2010_09::Workinstructions::loadWorkInstructionDoc,Use the loadWorkInstructionDoc operation from the _2012_09 namesace.,10,2712
Mes0SoaMes,Workinstructions,Mes0::Services::Mes::_2010_09::Workinstructions::saveWorkInstructionDoc,Use the saveWorkInstructionDoc operation from the _2012_09 namesace.,10,2712
Mes0SoaMes,Workinstructions,Mes0::Services::Mes::_2012_09::Workinstructions::loadWorkInstructionDoc,This operation is obsolete  there is no replacement.,2406,2712
Mes0SoaMes,Workinstructions,Mes0::Services::Mes::_2012_09::Workinstructions::saveWorkInstructionDoc,This operation is obsolete  there is no replacement.,2406,2712
Mes0SoaMes,Workinstructions,Mes0::Services::Mes::_2013_05::Workinstructions::loadWorkInstructionDoc,This operation is obsolete  there is no replacement.,2406,2712
Mes0SoaMes,Workinstructions,Mes0::Services::Mes::_2013_05::Workinstructions::saveWorkInstructionDoc,This operation is obsolete  there is no replacement.,2406,2712
Prg0SoaPrograminfra,Programmanagement,Prg0::Services::Programinfra::_2016_04::Programmanagement::clonePlanHierarchy,Cloning of Plan artifacts is supported with generic 'Save As' operation with Deep Copy Rules.,14.1,2712
Prg0SoaPrograminfra,Programmanagement,Prg0::Services::Programinfra::_2016_10::Programmanagement::clonePlanHierarchyWithProject,Cloning of Plan artifacts is supported with generic 'Save As' operation with Deep Copy Rules.,14.1,2712
Ptn0SoaPartition,Partitionmanagement,Ptn0::Services::Partition::_2011_06::Partitionmanagement::getChildren,Use the getChildren operation from the _2014_12 namespace.,10.1.3,2712
Ptn0SoaPartition,Partitionmanagement,Ptn0::Services::Partition::_2011_06::Partitionmanagement::getMembers,Use the getMembers operation from the _2014_12 namespace.,10.1.3,2712
Ptn0SoaPartition,Partitionmanagement,Ptn0::Services::Partition::_2011_06::Partitionmanagement::getParents,Use the getParents operation from the _2018_06 namespace.,11.5,2712
Ptn0SoaPartition,Partitionmanagement,Ptn0::Services::Partition::_2011_06::Partitionmanagement::wherePartitioned,Use the wherePartitioned2 operation from the _2018_06 namespace.,11.5,2712
Ptn0SoaPartition,Search,Ptn0::Services::Partition::_2011_06::Search::createPartitionExpressions,Use the createPartitionExpressions operation from the _2012_09 namespace.,10,2712
Ptn0SoaPartition,Partitionmanagement,Ptn0::Services::Partition::_2013_05::Partitionmanagement::clonePartitions,Use the clonePartitions operation from the _2014_12 namespace.,10.1.3,2712
Rv1SoaRelationshipviewer,Networkengine,Rv1::Services::Relationshipviewer::_2012_10::Networkengine::createRelations,This SOA was added in Tc9 timeframe purpose to support authoring relations in the Relation Browser but later RB functionality was confined to the rendering of relations  use Teamcenter::Soa::Core::DataManagement::createRelations instead.,2506,2712
Rv1SoaRelationshipviewer,Networkengine,Rv1::Services::Relationshipviewer::_2012_10::Networkengine::getViews,Use getViews3 instead,10.1.2,2712
Rv1SoaRelationshipviewer,Networkengine,Rv1::Services::Relationshipviewer::_2012_10::Networkengine::getViews2,Use getViews3 instead,10.1.2,2712
Rv1SoaRelationshipviewer,Networkengine,Rv1::Services::Relationshipviewer::_2012_10::Networkengine::queryNetwork,This operation is being deprecated  use queryNetwork2 instead.,2506,2712
Rv1SoaRelationshipviewer,Networkengine,Rv1::Services::Relationshipviewer::_2014_11::Networkengine::getViews3,Use getViews4 instead,ActiveWorkspace4.3,2712
Rv1SoaRelationshipviewer,Networkengine,Rv1::Services::Relationshipviewer::_2019_12::Networkengine::getViews4,use getViews5 instead,2312,2712
Saw1SoaProjectmanagementaw,Schedulemanagementaw,Saw1::Services::Projectmanagementaw::_2016_12::Schedulemanagementaw::loadSchedule,This operation is replaced by Saw1::Soa::ProjectManagementAw::_2018_12::loadSchedule2.,ActiveWorkspace4.1,2712
Sci0SoaImdsintegration,Imdsintegration,Sci0::Services::Imdsintegration::_2013_05::Imdsintegration::retrieveIMDSData,DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.,2512,2912
Sci0SoaImdsintegration,Imdsintegration,Sci0::Services::Imdsintegration::_2013_05::Imdsintegration::sendDataToIMDS,DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.,2512,2912
Sci0SoaImdsintegration,Imdsintegration,Sci0::Services::Imdsintegration::_2016_09::Imdsintegration::getApplicableIMDSUploadActions,DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.,2512,2912
Sci0SoaImdsintegration,Imdsintegration,Sci0::Services::Imdsintegration::_2016_09::Imdsintegration::sendDataToIMDS,DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.,2512,2912
Sci1SoaImdsintegrationaw,Imdsintegration,Sci1::Services::Imdsintegrationaw::_2018_05::Imdsintegration::findOrCreateAssociatedExchangeRev,DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.,2512,2912
Sci1SoaImdsintegrationaw,Imdsintegration,Sci1::Services::Imdsintegrationaw::_2022_06::Imdsintegration::sendDataToIMDS,DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.,2512,2912
Smc0SoaStructuremanagement,Solutionvariantmanagement,Smc0::Services::Structuremanagement::_2018_11::Solutionvariantmanagement::compareManagedSolutionVariantItems,We do not support passing individual Revision Rule and Variant Rule input for comparing a Managed Solution Variant via compareManagedSolutionVariantItems.  Use compareManagedSolutionVariantItems2 instead.,2606,2912
Smc0SoaStructuremanagement,Solutionvariantmanagement,Smc0::Services::Structuremanagement::_2018_11::Solutionvariantmanagement::updateManagedSolutionVariantItems,We do not support passing individual Revision Rule and Variant Rule input for updating a Managed Solution Variant via updateManagedSolutionVariantItems.  Use updateManagedSolutionVariantItems2 instead.,2606,2912
Smc0SoaStructuremanagement,Solutionvariantmanagement,Smc0::Services::Structuremanagement::_2023_06::Solutionvariantmanagement::updateMultilevelReuseSolVariants,We do not support updating a Reuse Solution Variant with a specific Variant Rule/Criteria in updateMultilevelReuseSolVariants. Use updateMultilevelReuseSolVariants2 instead.,2512,2912
Smr1SoaMrocoreaw,Mrocoreaw,Smr1::Services::Mrocoreaw::_2015_03::Mrocoreaw::createAndAssignLot,Deprecated. Introduced new SOA createAndAssignLot2.,2312,2712
Swi1SoaSvcworkinstructionsaw,Svcworkinstructionsaw,Swi1::Services::Svcworkinstructionsaw::_2021_06::Svcworkinstructionsaw::getServiceWorkInstructions,Deprecate this operation and replace it with swi1::Soa:: SvcWorkInstructionsAw::_2021_06::getServiceWorkInstructions2,ActiveWorkspace6.2,2712
TcSoaAdministration,Authorization,Teamcenter::Services::Administration::_2007_06::Authorization::checkAuthorization,Use the checkAuthorizationAccess operation from the _2007_06 namespace.,7.1.5,2712
TcSoaAdministration,Preferencemanagement,Teamcenter::Services::Administration::_2007_06::Preferencemanagement::setPreferences,Use the setPreferences2 or setPreferencesDefinition operations from the _2012_09 namespace.,10,2712
TcSoaAdministration,Preferencemanagement,Teamcenter::Services::Administration::_2008_06::Preferencemanagement::lockSitePreferences,There is no replacement for this operation.,11.6,2712
TcSoaAdministration,Preferencemanagement,Teamcenter::Services::Administration::_2008_06::Preferencemanagement::unlockSitePreferences,There is no replacement for this operation.,11.6,2712
TcSoaAdministration,Preferencemanagement,Teamcenter::Services::Administration::_2012_09::Preferencemanagement::removeStalePreferenceInstancesAtLocations,There is no replacement for this operation.,11.5,2712
TcSoaAi,Ai,Teamcenter::Services::Ai::_2006_03::Ai::getProjectsInfo,Use the getProjectsInfo2 operation from the _2012_09 namespace.,10,2712
TcSoaAi,Ai,Teamcenter::Services::Ai::_2007_12::Ai::generateScopedMultipleStructure,Use the generateScopedMultipleStructure2 or generateScopedMultipleStructure3 operations from the _2008_06 namespace.,8.0.1,2712
TcSoaAllocations,Allocation,Teamcenter::Services::Allocations::_2007_01::Allocation::createAllocationContext,This operation does not support AttrValueMap for Allocation Map  use createAllocationContext2 instead.,2506,2712
TcSoaBom,Structuremanagement,Teamcenter::Services::Bom::_2008_06::Structuremanagement::addOrUpdateChildrenToParentLine,use addOrUpdateChildrenToParentLine() from Teamcenter::Soa::Bom::_2025_06,2506,2712
TcSoaBusinessmodeler,Constants,Teamcenter::Services::Businessmodeler::_2007_06::Constants::getGlobalConstantValues,Use the getGlobalConstantValues2 operation from the _2011_06 namespace.,9,2712
TcSoaCad,Datamanagement,Teamcenter::Services::Cad::_2007_01::Datamanagement::createOrUpdateParts,Use the createOrUpdateParts operation from the _2007_12 namespace.,7,2712
TcSoaCad,Datamanagement,Teamcenter::Services::Cad::_2007_01::Datamanagement::getAllAttrMappings,Use the getAllAttrMappings2 operation from the _2011_06 namespace.,9,2712
TcSoaCad,Datamanagement,Teamcenter::Services::Cad::_2007_01::Datamanagement::getAttrMappingsForDatasetType,Use the getAttrMappings operation from the _2014_10 namespace.,11.1,2712
TcSoaCad,Datamanagement,Teamcenter::Services::Cad::_2007_01::Datamanagement::getAvailableTypes,Use the getAvailabelTypes operation from the Core DataManagement service.,7,2712
TcSoaCad,Structuremanagement,Teamcenter::Services::Cad::_2007_01::Structuremanagement::createBOMWindows,Use the createOrReConfigureBOMWindows operation from the _2007_01 namespace.,12.2,2712
TcSoaCad,Structuremanagement,Teamcenter::Services::Cad::_2007_01::Structuremanagement::createOrUpdateAbsoluteStructure,Use the createOrUpdateAbsoluteStructure operation from the _2007_12 namespace.,7,2712
TcSoaCad,Structuremanagement,Teamcenter::Services::Cad::_2007_01::Structuremanagement::createOrUpdateRelativeStructure,Use the createOrUpdateRelativeStructure operation from the _2007_12 namespace.,7,2712
TcSoaCad,Structuremanagement,Teamcenter::Services::Cad::_2007_01::Structuremanagement::deleteAssemblyArrangements,Use the deleteAssemblyArrangements operation from the _2007_12 namespace.,7,2712
TcSoaCad,Structuremanagement,Teamcenter::Services::Cad::_2007_01::Structuremanagement::deleteRelativeStructure,Use the deleteRelativeStructure operation from the _2007_12 namespace.,7,2712
TcSoaCad,Structuremanagement,Teamcenter::Services::Cad::_2007_06::Structuremanagement::createOrUpdateVariantConditions,Use the createOrUpdateVariantConditions2 operation from the _2007_09 namespace.,7.1,2712
TcSoaCad,Structuremanagement,Teamcenter::Services::Cad::_2008_03::Structuremanagement::askChildPathBOMLines,Use the askChildPathBOMLine operation from _2013_05 namespace.,10.1,2712
TcSoaCad,Structuremanagement,Teamcenter::Services::Cad::_2008_06::Structuremanagement::reconfigureBOMWindows,Use the createOrReConfigureBOMWindows operation from the _2007_01 namespace.,12.2,2712
TcSoaCad,Structuremanagement,Teamcenter::Services::Cad::_2009_04::Structuremanagement::createOrUpdateRelativeStructure,Use the createOrUpdateRelativeStructure operation from the _2013_05 namespace.,10.1,2712
TcSoaCad,Datamanagement,Teamcenter::Services::Cad::_2011_06::Datamanagement::getAllAttrMappings2,Use the getAttrMappings operation from the _2014_10 namespace.,11.1,2712
TcSoaCad,Structuremanagement,Teamcenter::Services::Cad::_2013_05::Structuremanagement::createBOMWindows2,Use the createOrReConfigureBOMWindows operation from the _2007_01 namespace.,12.2,2712
TcSoaCad,Structuremanagement,Teamcenter::Services::Cad::_2013_05::Structuremanagement::createOrUpdateRelativeStructure,use createOrUpdateRelativeStructure from Teamcenter::Soa::Cad::_2024_12 namespace,2412,2712
TcSoaCad,Structuremanagement,Teamcenter::Services::Cad::_2024_12::Structuremanagement::createOrUpdateRelativeStructure,use createOrUpdateRelativeStructure from Teamcenter::Soa::Cad::_2025_06 namespace,2506,2712
TcSoaCalendarmanagement,Calendarmanagement,Teamcenter::Services::Calendarmanagement::_2007_01::Calendarmanagement::modifyTCCalendars,Use the updateCalendars opeation from the _2008_06 namespace.,8.2,2712
TcSoaChangemanagement,Changemanagement,Teamcenter::Services::Changemanagement::_2008_06::Changemanagement::createChangeItems,Use the createObjects operation.,10,2712
TcSoaChangemanagement,Changemanagement,Teamcenter::Services::Changemanagement::_2008_06::Changemanagement::updateChangeItems,Use the setProperties  createRelations  and deleteRelations operations.,10,2712
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::createClassificationObjects,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::deleteClassificationObjects,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::findClassificationObjects,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::findClassifiedObjects,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::getAttributesForClasses,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::getChildren,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::getClassDescriptions,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::getClassificationObjects,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::getFileIds,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::getKeyLOVs,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::getParents,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::getPartFamilyTemplates,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::search,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::searchByInstanceId,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::searchForClasses,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2007_01::Classification::updateClassificationObjects,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2009_10::Classification::autoComputeAttributes,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2009_10::Classification::createOrUpdateKeyLOVs,the service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2009_10::Classification::getAttributesForClasses2,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2009_10::Classification::getKeyLOVs2,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2011_06::Classification::deleteChildrenInHierarchy,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2011_06::Classification::getLibraryHierarchy,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2011_12::Classification::getClassificationObjectInfo,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2015_03::Classification::getKeyLOVsForDependentAttributes,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2015_10::Classification::getClassDefinitions,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2016_03::Classification::convertValues,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2016_03::Classification::getChildrenExtended,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2016_03::Classification::searchClassesExtended,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaClassification,Classification,Teamcenter::Services::Classification::_2016_09::Classification::findValues,The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.,2512,2912
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2006_03::Datamanagement::createDatasets,Use the createDatasets2 operation from the _2006_03 namespace.,8,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2006_03::Datamanagement::revise,Use the revise2 operation from the _2008_06 namespace.,8,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2006_03::Datamanagement::setDisplayProperties,Use the setProperties operation from the _2010_09 namespace.,11.2,2712
TcSoaCore,Session,Teamcenter::Services::Core::_2006_03::Session::getPreferences,Use the getPreferences operation from the _2007_01 namespace.,5,2712
TcSoaCore,Session,Teamcenter::Services::Core::_2006_03::Session::login,Use the login operation from the _2008_06 namespace.,10,2712
TcSoaCore,Session,Teamcenter::Services::Core::_2006_03::Session::loginSSO,Use the loginSSO operation from the _2008_06 namespace.,10,2712
TcSoaCore,Session,Teamcenter::Services::Core::_2006_03::Session::setPreferences,Use the setPreferences operation from the PreferenceManagement service in the Administration library.,10,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2007_01::Datamanagement::getItemFromId,Use the getItemAndRelatedObjects operation from the _2008_06 namespace.,8,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2007_01::Datamanagement::saveAsNewItem,Use the saveAsNewItem2 operation from the _2008_06 namespace.,8,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2007_01::Datamanagement::whereUsed,Use the whereUsed operation from the _2012_02 namespace.,9.1,2712
TcSoaCore,Session,Teamcenter::Services::Core::_2007_01::Session::getPreferences,Use the getPreferences operation from the PreferenceManagement service in the Administration library.,10,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2007_06::Datamanagement::validateItemIdsAndRevIds,Use the validateValues operation from the _2013_05 namespace.,10.1,2712
TcSoaCore,Lov,Teamcenter::Services::Core::_2007_06::Lov::getAttachedLOVs,Use the getAttachedPropDescs operation from the _2007_06 namespace.,7.1,2712
TcSoaCore,Propdescriptor,Teamcenter::Services::Core::_2007_06::Propdescriptor::getAttachedPropDescs,Use the getAttachedPropDescs2 operation from the _2011_06 namespace.,9,2712
TcSoaCore,Session,Teamcenter::Services::Core::_2008_03::Session::getFavorites,Use the getShortcuts operation.,8.2,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2010_04::Datamanagement::getLocalizedProperties,Use the getLocalizedProperties2 operation from the _2015_07 namespace.,11.2,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2010_04::Datamanagement::isPropertyLocalizable,Use the isLocalizable from the propertydescriptor.,9,2712
TcSoaCore,Session,Teamcenter::Services::Core::_2010_04::Session::getPreferences2,Use the getPreferences operation from the PreferenceManagement service in the Administration library.,10,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2011_06::Datamanagement::getTraceReport,Use the getTraceReport2 operation from the _2014_06 namespace.,10.1.2,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2011_06::Datamanagement::saveAsObjects,Use the saveAsObjectsAndRelate operation from the _2014_10 namespace,11.1,2712
TcSoaCore,Operationdescriptor,Teamcenter::Services::Core::_2011_06::Operationdescriptor::getSaveAsDesc,Use the getDeepCopyData operation from the _2014_10 namespace.,11.2,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2012_02::Datamanagement::bulkCreateObjects,Use the createObjects operation from the _2008_06 namespace.,12.2,2712
TcSoaCore,Operationdescriptor,Teamcenter::Services::Core::_2012_02::Operationdescriptor::getDeepCopyData,Use the getDeepCopyData operation from the _2014_10 namespace.,11.2,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2012_09::Datamanagement::saveAsObjectAndRelate,Use the saveAsObjectsAndRelate operation from the _2014_10 namespace.,11.1,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2012_10::Datamanagement::getTraceReport,Use the getTraceReport2 operation from the _2014_06 namespace.,10.1.2,2712
TcSoaCore,Datamanagement,Teamcenter::Services::Core::_2015_07::Datamanagement::getLocalizedProperties2,As of Teamcenter 2506  use the getLocalizedProperties3 operation from the _2025_01 namespace.,2506,2712
